INFO  - 2015-11-02 01:15:57.557; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4459917/greenville-georgia-rifles-for-sale--daniel-defense-m4v7lw (1516718792436088832)]} 0 1
INFO  - 2015-11-02 01:15:57.574; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4482814/reno-nevada-rifles-for-sale-trade--remington-700-270 (1516718792452866048)]} 0 1
INFO  - 2015-11-02 01:15:57.591; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/3594887/greensboro-north-carolina-handguns-for-sale--lower-price--450--ruger-super-bear-cat--steel-frame-from-1973--just-rebuilt-by-ruger--has-all-t (1516718792471740416)]} 0 1
INFO  - 2015-11-02 01:15:57.609; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4380060/indianiapolis-indiana-rifles-for-sale-trade--ar-15 (1516718792490614784)]} 0 1
INFO  - 2015-11-02 01:15:57.625; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4362962/madison-wisconsin-handguns-for-sale--s-w-bodyguard--380acp (1516718792506343424)]} 0 1
INFO  - 2015-11-02 01:15:57.642; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4484651/st-louis-missouri-handguns-for-sale--s-w-1911sc-e-series-45acp (1516718792524169216)]} 0 1
INFO  - 2015-11-02 01:15:57.659; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4381494/baton-rouge-gun-parts-for-sale--franchi-12-ga--28-in-barrel (1516718792543043584)]} 0 0
INFO  - 2015-11-02 01:15:57.678; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4432792/fort-wayne-indiana-rifles-for-sale--rock-river-operatior-556-223 (1516718792562966528)]} 0 0
INFO  - 2015-11-02 01:15:57.695; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4360656/lower-peninsula-michigan-handguns-for-sale--gen-3-glock-21--45acp-trade-for-glock-23-or-glock-19 (1516718792580792320)]} 0 0
INFO  - 2015-11-02 01:15:57.714; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4433180/new-hampshire-rifles-for-sale--ruger-10-22-bullpup--new-unfired (1516718792600715264)]} 0 0
INFO  - 2015-11-02 01:15:57.732; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4466250/huntsville-alabama-handguns-for-sale--smith---wession-422-22-long-rifle--4--barrel-pistol-2-mags-brand-new- (1516718792619589632)]} 0 0
INFO  - 2015-11-02 01:15:57.749; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4406088/lexington-kentucky-shotguns-for-sale-trade--mossberg-500c-20-gauge- (1516718792637415424)]} 0 0
